sample_id,macrocategory,category,type,subtype,fermented/non-fermented,country,cluster_div,unknown_per
WK010-2-G-48h-01D4_S10,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,ITA,3015,0.856053068
WK011-2-L-08h-02A7_S67,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,2639,0.875331565
WK043-1-L-08h-03G4_S77,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,1856,0.804956897
WK050-1-L-48h-04C8_S126,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,3802,0.907417149
WK013-1-L-48h-02B5_S74,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,2160,0.818981481
WK053-2-L-08h-04E5_S12,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,1938,0.875128999
WK037-2-L-08h-03D9_S55,food,fermented_beverages,water_kefir,water_kefir_figs_semi-dry_liquid,F,AUS,2270,0.900440529
WK043-2-G-48h-04C1_S119,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,FRA,2428,0.831960461
VB10-26,food,dairy,cheese,fresh_cheese_b_rind,F,AUT,622,0.789389068
WK018-2-L-48h-02D9_S96,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3452,0.863557358
WK018T-1-L-48h-05G2_S108,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,1145,0.768558952
WK017-2-L-48h-02D5_S92,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3723,0.852001074
WK018-1-L-08h-02D6_S93,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3662,0.868924085
WK029-2-L-48h-03A5_S24,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,USA,1904,0.889180672
WK051-2-L-48h-04D7_S5,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,3763,0.897422269
WK009-1-L-08h-01I6_S57,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,2999,0.882960987
WK054-1-L-48h-04E8_S15,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,4439,0.868213562
ERS1807708,food,fermented_beverages,water_kefir,water_kefir_figs,F,BEL,1985,0.871536524
WK010-2-L-48h-02A4_S64,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,4083,0.853783982
WK064-1-L-08h-05A2_S54,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,3190,0.9
T-30,food,dairy,cheese,cheese_rind_2_t45,F,ITA,963,0.700934579
WK014-2-G-48h-01D8_S14,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,DNK,2275,0.824615385
DF_42,food,dairy,cheese,caciotta_sarda,F,ITA,2543,0.718049548
P2639,food,dairy,cheese,cheese_1_after_ripening;interior,F,ESP,2563,0.906749902
WK004-2-G-48h-01C7_S4,food,fermented_beverages,water_kefir,water_kefir_figs_dried_grain,F,DEU,2371,0.900885702
WK013-2-L-48h-02B7_S76,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,2319,0.82880552
WK017-1-L-48h-02D3_S90,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,3080,0.83961039
WK021-1-L-08h-02E9_S105,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,2352,0.868197279
WK064-2-G-48h-05H7_S122,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,FRA,2523,0.904875149
WK012-2-G-48h-01D6_S12,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_grain,F,ITA,1795,0.768802228
WK018T-2-L-48h-05G3_S109,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,1092,0.76007326
WK041-2-L-48h-03F8_S72,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,SGP,2011,0.838886126
WK053-2-L-48h-04E6_S13,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,FRA,3089,0.889932017
SRS5653132,food,fermented_grains_legumes_and_seeds,sourdough,sourdough_starter,F,USA,2129,0.86096759
SP009_71775,food,fermented_meat,salami,salame_piacentino,F,ITA,5842,0.823176994
WK034-2-L-48h-03C7_S44,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,CAN,3002,0.83344437
WK037-2-L-48h-03E1_S56,food,fermented_beverages,water_kefir,water_kefir_figs_semi-dry_liquid,F,AUS,1739,0.870040253
WK006-1-L-08h-01H3_S45,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,1667,0.898620276
WK010-2-L-08h-02A3_S63,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,2726,0.851797506
WK012-2-L-48h-02B3_S72,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,2576,0.820263975
WK018T-2-L-08h-05E9_S97,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,1134,0.76984127
WK018T-2-L-16h-05F4_S101,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,GBR,2318,0.854184642
P2640,food,dairy,cheese,cheese_2_after_ripening;rind,F,ESP,3192,0.901942356
WK047-1-L-48h-03I3_S94,food,fermented_beverages,water_kefir,water_kefir_figs_dried_liquid,F,AUS,2945,0.888964346
WK010-1-L-08h-02A1_S61,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,ITA,2820,0.863120567
WK011-2-L-48h-02A8_S68,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DEU,3524,0.902099886
WK014-2-L-08h-02C1_S79,food,fermented_beverages,water_kefir,water_kefir_figs_fresh_liquid,F,DNK,2337,0.832691485
