sample_id,category,cluster_div,unknown_per,mag_div
WK037-2-L-48h-03E1_S56,fermented_beverages,1739,0.871765382,3
WK006-1-L-08h-01H3_S45,fermented_beverages,1667,0.898620276,3
WK010-2-L-08h-02A3_S63,fermented_beverages,2726,0.878943507,5
WK012-2-L-48h-02B3_S72,fermented_beverages,2576,0.854037267,5
WK018T-2-L-08h-05E9_S97,fermented_beverages,1134,0.76984127,2
WK018T-2-L-16h-05F4_S101,fermented_beverages,2318,0.897756687,4
P2640,dairy,3192,0.946428571,5
WK047-1-L-48h-03I3_S94,fermented_beverages,2945,0.921222411,5
WK010-1-L-08h-02A1_S61,fermented_beverages,2820,0.877659574,6
WK011-2-L-48h-02A8_S68,fermented_beverages,3524,1.114642452,7
WK014-2-L-08h-02C1_S79,fermented_beverages,2337,0.864356012,4
WK051-1-L-48h-04D5_S3,fermented_beverages,2489,0.93129771,5
WK053-1-L-08h-04E3_S10,fermented_beverages,2198,0.878980892,4
WK011-1-L-48h-02A6_S66,fermented_beverages,3094,1.057530705,6
ERS1807709,fermented_beverages,2897,0.713841905,6
WK001-2-L-08h-01F3_S27,fermented_beverages,2483,1.089005236,5
WK018-2-G-48h-01E3_S18,fermented_beverages,3707,0.915025627,7
WK018T-1-L-08h-05E8_S96,fermented_beverages,1162,0.7616179,2
WK037-2-G-48h-04B4_S113,fermented_beverages,2905,0.951462995,5
WK048-2-L-48h-03I9_S100,fermented_beverages,2684,1.141579732,7
WK014-1-L-48h-02B9_S78,fermented_beverages,2958,0.878296146,5
WK020-2-L-08h-02E7_S103,fermented_beverages,2568,0.855919003,5
SRS2706107,fermented_fruits_and_vegetables,754,0.797082228,2
AF82,fermented_tubers_and_roots,1451,0.914541695,6
WK013-2-L-08h-02B6_S75,fermented_beverages,1609,0.771908017,3
WK024-1-L-48h-02G7_S121,fermented_beverages,2735,0.925776965,6
WK051-2-L-08h-04D6_S4,fermented_beverages,2887,0.991686872,6
WK056-1-L-08h-04F6_S22,fermented_beverages,2497,1.083700441,5
WK006-2-L-08h-01H5_S47,fermented_beverages,1709,0.878876536,3
WK012-1-L-48h-02B1_S70,fermented_beverages,2450,0.856734694,5
WK029-2-L-08h-03A4_S23,fermented_beverages,1201,0.855120733,2
WK020-1-L-08h-02E5_S101,fermented_beverages,2299,0.812092214,5
WK003-1-L-08h-01F9_S33,fermented_beverages,1940,0.975773196,4
WK011-2-G-48h-01D5_S11,fermented_beverages,1885,0.946419098,3
WK034-1-L-48h-03C5_S42,fermented_beverages,3190,0.927899687,5
WK050-2-L-08h-04C9_S127,fermented_beverages,3251,1.041833282,7
WK046-2-L-48h-03I1_S92,fermented_beverages,1861,0.970445997,4
WK062-1-L-08h-04I3_S46,fermented_beverages,2287,0.883690424,4
WK003-2-L-48h-01G3_S36,fermented_beverages,3238,0.97282273,6
